pcode_st,name_st,light_t,light_elec,light_kero,light_cand,light_batt,light_gen,light_wat,light_sol,light_oth
MMR,UNION,10877832,3527717,876578,2251936,1843756,1013149,177507,945242,241947
MMR001,Kachin,269365,81590,792,82387,11086,33976,9892,47614,2028
MMR002,Kayah,57274,27831,3140,11379,2043,796,549,10071,1465
MMR003,Kayin,308041,82805,31905,139350,5923,25562,3155,18046,1295
MMR004,Chin,91121,14074,5393,26763,8279,3268,10951,14663,7730
MMR005,Sagaing,1096857,265131,9560,172634,270556,180883,8834,130005,59254
MMR006,Tanintharyi,283099,22754,50274,62077,2195,133824,2240,7271,2464
MMR111,Bago,1142974,316091,100247,329833,257303,51943,1435,72962,13160
MMR009,Magway,919777,208473,3491,207327,246373,106178,7132,93192,47611
MMR010,Mandalay,1323191,520838,5949,185225,296073,146520,9151,107304,52131
MMR011,Mon,422612,150876,14958,134853,18314,88356,1769,11383,2103
MMR012,Rakhine,459772,59039,54165,271119,17644,40944,797,14726,1338
MMR013,Yangon,1582944,1097146,89540,113805,186889,62719,705,25076,7064
MMR222,Shan,1169569,390581,46431,202742,44081,23349,119056,311356,31973
MMR017,Ayeyarwady,1488983,178810,458988,230741,457606,86943,1287,66234,8374
MMR018,Nay Pyi Taw,262253,111678,1745,81701,19391,27888,554,15339,3957
